order,original_path,organized_path,role,status,actually_used,safe_to_execute,sha256,size_bytes,note
1,superseded/Project_Integrity_OS_Brief_TODO-0002_v0_2_SUPERSEDED.md,01-esecuzione-effettiva/TODO-0002_01_Brief_Esecuzione_v0_2_USED_THEN_SUPERSEDED.md,brief_esecuzione,USED_THEN_SUPERSEDED,true,,44ec3db515fdb1197f119924517b2c9c418a5c1dad29a0ec5efe8bd1654e3dd1,20541,Brief v0.2 realmente utilizzato durante l’esecuzione; successivamente sostituito dal brief finale v0.3.
2,instructions/Project_Integrity_OS_Prompt_Esecutivo_Browser_TODO-0002_v0_1_FINAL.md,01-esecuzione-effettiva/TODO-0002_02_Prompt_Browser_Operatore_v0_1_USED.md,prompt_esecutivo,USED,true,false,b0b4693f2d1247f60e83079cd5a59cd36f8975f8b5ad9d72bcbfb879befaada1,9222,"Prompt realmente utilizzato in modalità BROWSER_OPERATOR_ASSISTED; conservare come storico, non riutilizzare automaticamente."
3,instructions/Project_Integrity_OS_Start_Here_Browser_TODO-0002_v0_1_FINAL.md,01-esecuzione-effettiva/TODO-0002_03_Start_Here_Browser_Operatore_v0_1_USED.md,start_here_esecuzione,USED,true,false,9851d81d155012df71bd44aa89cfe98b6b988a1e246411ce9e73c52c737b7fa2,1397,Procedura di avvio della sessione browser realmente utilizzata.
4,reports/Project_Integrity_OS_Report_Esecutivo_TODO-0002_v0_1.md,02-risultati-e-verifica/TODO-0002_04_Report_Esecutore_v0_1_FINAL.md,report_esecutore,FINAL,true,,0090a42cea9e5683bbf6a400e7d6f63086896d0672ed9a6369d18f1ea9b24aec,6963,Dichiarazione finale dell’esecutore; non equivale da sola a prova o chiusura.
5,reports/Project_Integrity_OS_Verifica_Indipendente_TODO-0002_v0_1.md,02-risultati-e-verifica/TODO-0002_05_Verifica_Indipendente_v0_1_PASSED.md,verifica_indipendente,PASSED,true,,6f694e476d9848b8af614e18af984f5c87e1d9d3ad0a12ce822a25bf5ee44b05,4901,"Verifica tecnica, documentale e di coerenza conclusa con esito SUPERATA."
6,validation/approvals/Project_Integrity_OS_Approvazione_Umana_TODO-0002_v0_1.md,03-validazione-umana/TODO-0002_06_Approvazione_Umana_v0_1_APPROVED.md,approvazione_umana,APPROVED,true,,3d2e655fdeb6d20f8c3e31bc2648cfcae8e96e91b3d540eeb305b5ad7839b4a8,953,Approvazione umana della chiusura; autorizza commit baseline locale e vieta il push.
7,validation/exceptions/Project_Integrity_OS_Deviazione_DEV-TODO-0002-001_v0_1.md,03-validazione-umana/TODO-0002_07_Deviazione_DEV-TODO-0002-001_v0_1_ACCEPTED.md,deviazione,ACCEPTED,true,,1b354abb5d75e01bf87e291ede8f81e5c19db8cf4a44fd7633a40a9569d3b8e5,923,"Deviazione procedurale accettata: build installer temporanea, successivamente rimossa."
8,instructions/Project_Integrity_OS_Brief_TODO-0002_v0_3_FINAL.md,04-chiusura-documentale/TODO-0002_08_Brief_Finale_Chiusura_v0_3_FINAL.md,brief_finale_chiusura,FINAL,false,false,263d54c7f058b687087f3ab1ad975af57de564bc2844294efc61c65f38263491,20993,Versione finale archiviata prodotta in chiusura; non è il brief usato durante l’esecuzione.
9,instructions/closure/Project_Integrity_OS_Start_Here_Chiusura_TODO-0002_v0_1_EXECUTED.md,04-chiusura-documentale/TODO-0002_09_Runbook_Chiusura_v0_1_EXECUTED.md,runbook_chiusura,EXECUTED,true,false,19ec0e0b5737b3c28ab9bb4dd7d38b8b523d4f021cce4d3cc0b2cb467f744e96,862,"Istruzioni già eseguite. Il testo cita close_todo_0002.py, mentre il file storico conservato ha un nome differente."
10,instructions/closure/Project_Integrity_OS_Chiusura_TODO-0002_v0_1_EXECUTED.py,04-chiusura-documentale/TODO-0002_10_Script_Chiusura_v0_1_EXECUTED_DO_NOT_RERUN.py,script_chiusura,EXECUTED,true,false,983ffcd98ac851a439ca72be1bb48c933acff2e10129b564babe49267d83121f,27298,"Script storico già eseguito, con percorsi e condizioni legati al contesto originario. Non rieseguire."
91,superseded/Project_Integrity_OS_Brief_TODO-0002_v0_1_SUPERSEDED.md,90-storico-non-utilizzato/TODO-0002_91_Brief_Iniziale_v0_1_SUPERSEDED.md,brief_precedente,SUPERSEDED,false,false,13f5fd8a5ab5b365fb6b9e77fd36dbb6141ab2a605abd21804358bdd205d5488,7137,"Prima versione del brief, sostituita prima dell’esecuzione effettiva."
92,superseded/Project_Integrity_OS_Prompt_Esecutivo_Desktop_TODO-0002_v0_1_SUPERSEDED.md,90-storico-non-utilizzato/TODO-0002_92_Prompt_Desktop_v0_1_NOT_USED_SUPERSEDED.md,prompt_desktop_precedente,NOT_USED_SUPERSEDED,false,false,d8ec66df62ee99e27905dec7b9240fe37fdda6faf45a07eceb3d04a525de3f05,2371,Variante desktop/local abbandonata a favore della modalità browser con operatore.
93,superseded/Project_Integrity_OS_Start_Here_Desktop_TODO-0002_v0_1_SUPERSEDED.md,90-storico-non-utilizzato/TODO-0002_93_Start_Here_Desktop_v0_1_NOT_USED_SUPERSEDED.md,start_here_desktop_precedente,NOT_USED_SUPERSEDED,false,false,ed50187b65569ac15edb3a81c31b63493fe943460462d239dd2ba98fcfc39f83,888,Procedura desktop non utilizzata.
